year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
1984,FS.food.stamps,1,NES,props.d,0.300469484,-1,1,-1,0,1,12
1986,FS.food.stamps,1,NES,props.d,0.322322322,-0.8,0.64,-0.512,0,1,12
1988,FS.food.stamps,1,NES,props.d,0.307268722,-0.6,0.36,-0.216,0,1,12
1990,FS.food.stamps,1,NES,props.d,0.204943357,-0.4,0.16,-0.064,0,1,12
1992,FS.food.stamps,1,NES,props.d,0.235229843,-0.2,0.04,-0.008,0,1,12
1994,FS.food.stamps,1,NES,props.d,0.13717894,0,0,0,0,1,12
1996,FS.food.stamps,1,NES,props.d,0.156030042,0.2,0.04,0.008,0,1,12
2000,FS.food.stamps,1,NES,props.d,0.216903659,0.6,0.36,0.216,0,1,12
1984,FS.food.stamps,1,NES,props.i,0.245192308,-1,1,-1,1,0,12
1986,FS.food.stamps,1,NES,props.i,0.305660377,-0.8,0.64,-0.512,1,0,12
1988,FS.food.stamps,1,NES,props.i,0.244343891,-0.6,0.36,-0.216,1,0,12
1990,FS.food.stamps,1,NES,props.i,0.194444444,-0.4,0.16,-0.064,1,0,12
1992,FS.food.stamps,1,NES,props.i,0.199593313,-0.2,0.04,-0.008,1,0,12
1994,FS.food.stamps,1,NES,props.i,0.154893992,0,0,0,1,0,12
1996,FS.food.stamps,1,NES,props.i,0.098885791,0.2,0.04,0.008,1,0,12
2000,FS.food.stamps,1,NES,props.i,0.170242153,0.6,0.36,0.216,1,0,12
1984,FS.food.stamps,1,NES,props.r,0.099726776,-1,1,-1,0,0,12
1986,FS.food.stamps,1,NES,props.r,0.127777778,-0.8,0.64,-0.512,0,0,12
1988,FS.food.stamps,1,NES,props.r,0.125156446,-0.6,0.36,-0.216,0,0,12
1990,FS.food.stamps,1,NES,props.r,0.090387374,-0.4,0.16,-0.064,0,0,12
1992,FS.food.stamps,1,NES,props.r,0.088550353,-0.2,0.04,-0.008,0,0,12
1994,FS.food.stamps,1,NES,props.r,0.041115687,0,0,0,0,0,12
1996,FS.food.stamps,1,NES,props.r,0.055547101,0.2,0.04,0.008,0,0,12
2000,FS.food.stamps,1,NES,props.r,0.07854063,0.6,0.36,0.216,0,0,12
1984,FS.environment,1,NES,props.d,0.438882421,-1,1,-1,0,1,13
1986,FS.environment,1,NES,props.d,0.551428571,-0.8,0.64,-0.512,0,1,13
1988,FS.environment,1,NES,props.d,0.656957929,-0.6,0.36,-0.216,0,1,13
1990,FS.environment,1,NES,props.d,0.581560284,-0.4,0.16,-0.064,0,1,13
1992,FS.environment,1,NES,props.d,0.69074748,-0.2,0.04,-0.008,0,1,13
1994,FS.environment,1,NES,props.d,0.488307941,0,0,0,0,1,13
1996,FS.environment,1,NES,props.d,0.495852816,0.2,0.04,0.008,0,1,13
2000,FS.environment,1,NES,props.d,0.604807247,0.6,0.36,0.216,0,1,13
2002,FS.environment,1,NES,props.d,0.541381837,0.8,0.64,0.512,0,1,13
2008,FS.environment,1,NES,props.d,0.736147627,1.4,1.96,2.744,0,1,13
2012,FS.environment,1,NES,props.d,0.693929832,1.8,3.24,5.832,0,1,13
2016,FS.environment,1,NES,props.d,0.805792262,2.2,4.84,10.648,0,1,13
1984,FS.environment,1,NES,props.i,0.309178744,-1,1,-1,1,0,13
1986,FS.environment,1,NES,props.i,0.505576208,-0.8,0.64,-0.512,1,0,13
1988,FS.environment,1,NES,props.i,0.640350877,-0.6,0.36,-0.216,1,0,13
1990,FS.environment,1,NES,props.i,0.514150943,-0.4,0.16,-0.064,1,0,13
1992,FS.environment,1,NES,props.i,0.638110275,-0.2,0.04,-0.008,1,0,13
1994,FS.environment,1,NES,props.i,0.465305487,0,0,0,1,0,13
1996,FS.environment,1,NES,props.i,0.490152672,0.2,0.04,0.008,1,0,13
2000,FS.environment,1,NES,props.i,0.553174493,0.6,0.36,0.216,1,0,13
2002,FS.environment,1,NES,props.i,0.313843852,0.8,0.64,0.512,1,0,13
2008,FS.environment,1,NES,props.i,0.648931901,1.4,1.96,2.744,1,0,13
2012,FS.environment,1,NES,props.i,0.532848844,1.8,3.24,5.832,1,0,13
2016,FS.environment,1,NES,props.i,0.647813067,2.2,4.84,10.648,1,0,13
1984,FS.environment,1,NES,props.r,0.296296296,-1,1,-1,0,0,13
1986,FS.environment,1,NES,props.r,0.445333333,-0.8,0.64,-0.512,0,0,13
1988,FS.environment,1,NES,props.r,0.607626076,-0.6,0.36,-0.216,0,0,13
1990,FS.environment,1,NES,props.r,0.516358464,-0.4,0.16,-0.064,0,0,13
1992,FS.environment,1,NES,props.r,0.498898404,-0.2,0.04,-0.008,0,0,13
1994,FS.environment,1,NES,props.r,0.337471045,0,0,0,0,0,13
1996,FS.environment,1,NES,props.r,0.324054511,0.2,0.04,0.008,0,0,13
2000,FS.environment,1,NES,props.r,0.371936386,0.6,0.36,0.216,0,0,13
2002,FS.environment,1,NES,props.r,0.290069606,0.8,0.64,0.512,0,0,13
2008,FS.environment,1,NES,props.r,0.489259427,1.4,1.96,2.744,0,0,13
2012,FS.environment,1,NES,props.r,0.317943926,1.8,3.24,5.832,0,0,13
2016,FS.environment,1,NES,props.r,0.381283017,2.2,4.84,10.648,0,0,13
1984,FS.soc.security,1,NES,props.d,0.621195039,-1,1,-1,0,1,14
1986,FS.soc.security,1,NES,props.d,0.724137931,-0.8,0.64,-0.512,0,1,14
1988,FS.soc.security,1,NES,props.d,0.690021231,-0.6,0.36,-0.216,0,1,14
1990,FS.soc.security,1,NES,props.d,0.710843373,-0.4,0.16,-0.064,0,1,14
1992,FS.soc.security,1,NES,props.d,0.569395246,-0.2,0.04,-0.008,0,1,14
1994,FS.soc.security,1,NES,props.d,0.61377092,0,0,0,0,1,14
1996,FS.soc.security,1,NES,props.d,0.588789155,0.2,0.04,0.008,0,1,14
2000,FS.soc.security,1,NES,props.d,0.728542715,0.6,0.36,0.216,0,1,14
2002,FS.soc.security,1,NES,props.d,0.709840926,0.8,0.64,0.512,0,1,14
2004,FS.soc.security,1,NES,props.d,0.710199978,1,1,1,0,1,14
2008,FS.soc.security,1,NES,props.d,0.7419696,1.4,1.96,2.744,0,1,14
2012,FS.soc.security,1,NES,props.d,0.60929691,1.8,3.24,5.832,0,1,14
2016,FS.soc.security,1,NES,props.d,0.745069728,2.2,4.84,10.648,0,1,14
1984,FS.soc.security,1,NES,props.i,0.595454545,-1,1,-1,1,0,14
1986,FS.soc.security,1,NES,props.i,0.713780919,-0.8,0.64,-0.512,1,0,14
1988,FS.soc.security,1,NES,props.i,0.659292035,-0.6,0.36,-0.216,1,0,14
1990,FS.soc.security,1,NES,props.i,0.691964286,-0.4,0.16,-0.064,1,0,14
1992,FS.soc.security,1,NES,props.i,0.533404374,-0.2,0.04,-0.008,1,0,14
1994,FS.soc.security,1,NES,props.i,0.639358348,0,0,0,1,0,14
1996,FS.soc.security,1,NES,props.i,0.543606572,0.2,0.04,0.008,1,0,14
2000,FS.soc.security,1,NES,props.i,0.650319536,0.6,0.36,0.216,1,0,14
2002,FS.soc.security,1,NES,props.i,0.676418169,0.8,0.64,0.512,1,0,14
2004,FS.soc.security,1,NES,props.i,0.749120362,1,1,1,1,0,14
2008,FS.soc.security,1,NES,props.i,0.658256626,1.4,1.96,2.744,1,0,14
2012,FS.soc.security,1,NES,props.i,0.67043984,1.8,3.24,5.832,1,0,14
2016,FS.soc.security,1,NES,props.i,0.7106085,2.2,4.84,10.648,1,0,14
1984,FS.soc.security,1,NES,props.r,0.385416667,-1,1,-1,0,0,14
1986,FS.soc.security,1,NES,props.r,0.516644474,-0.8,0.64,-0.512,0,0,14
1988,FS.soc.security,1,NES,props.r,0.464547677,-0.6,0.36,-0.216,0,0,14
1990,FS.soc.security,1,NES,props.r,0.5,-0.4,0.16,-0.064,0,0,14
1992,FS.soc.security,1,NES,props.r,0.358851759,-0.2,0.04,-0.008,0,0,14
1994,FS.soc.security,1,NES,props.r,0.42095306,0,0,0,0,0,14
1996,FS.soc.security,1,NES,props.r,0.360222647,0.2,0.04,0.008,0,0,14
2000,FS.soc.security,1,NES,props.r,0.53430295,0.6,0.36,0.216,0,0,14
2002,FS.soc.security,1,NES,props.r,0.536467645,0.8,0.64,0.512,0,0,14
2004,FS.soc.security,1,NES,props.r,0.540213614,1,1,1,0,0,14
2008,FS.soc.security,1,NES,props.r,0.544276682,1.4,1.96,2.744,0,0,14
2012,FS.soc.security,1,NES,props.r,0.452401313,1.8,3.24,5.832,0,0,14
2016,FS.soc.security,1,NES,props.r,0.534435201,2.2,4.84,10.648,0,0,14
1984,FS.assistance.blacks,1,NES,props.d,0.302677532,-1,1,-1,0,1,15
1986,FS.assistance.blacks,1,NES,props.d,0.365758755,-0.8,0.64,-0.512,0,1,15
1988,FS.assistance.blacks,1,NES,props.d,0.346695558,-0.6,0.36,-0.216,0,1,15
1990,FS.assistance.blacks,1,NES,props.d,0.36401241,-0.4,0.16,-0.064,0,1,15
1992,FS.assistance.blacks,1,NES,props.d,0.354103642,-0.2,0.04,-0.008,0,1,15
2000,FS.assistance.blacks,1,NES,props.d,0.26473029,0.6,0.36,0.216,0,1,15
2002,FS.assistance.blacks,1,NES,props.d,0.305257868,0.8,0.64,0.512,0,1,15
1984,FS.assistance.blacks,1,NES,props.i,0.205741627,-1,1,-1,1,0,15
1986,FS.assistance.blacks,1,NES,props.i,0.209737828,-0.8,0.64,-0.512,1,0,15
1988,FS.assistance.blacks,1,NES,props.i,0.201834862,-0.6,0.36,-0.216,1,0,15
1990,FS.assistance.blacks,1,NES,props.i,0.213270142,-0.4,0.16,-0.064,1,0,15
1992,FS.assistance.blacks,1,NES,props.i,0.21008387,-0.2,0.04,-0.008,1,0,15
2000,FS.assistance.blacks,1,NES,props.i,0.150587589,0.6,0.36,0.216,1,0,15
2002,FS.assistance.blacks,1,NES,props.i,0.127863397,0.8,0.64,0.512,1,0,15
1984,FS.assistance.blacks,1,NES,props.r,0.089214381,-1,1,-1,0,0,15
1986,FS.assistance.blacks,1,NES,props.r,0.151432469,-0.8,0.64,-0.512,0,0,15
1988,FS.assistance.blacks,1,NES,props.r,0.12720403,-0.6,0.36,-0.216,0,0,15
1990,FS.assistance.blacks,1,NES,props.r,0.152616279,-0.4,0.16,-0.064,0,0,15
1992,FS.assistance.blacks,1,NES,props.r,0.135380434,-0.2,0.04,-0.008,0,0,15
2000,FS.assistance.blacks,1,NES,props.r,0.084166075,0.6,0.36,0.216,0,0,15
2002,FS.assistance.blacks,1,NES,props.r,0.070837058,0.8,0.64,0.512,0,0,15
1990,less.government,1,NES,props.d,0.813704497,-0.4,0.16,-0.064,0,1,16
1992,less.government,1,NES,props.d,0.792810443,-0.2,0.04,-0.008,0,1,16
2000,less.government,1,NES,props.d,0.762274237,0.6,0.36,0.216,0,1,16
2004,less.government,1,NES,props.d,0.709620936,1,1,1,0,1,16
2008,less.government,1,NES,props.d,0.746629897,1.4,1.96,2.744,0,1,16
2012,less.government,1,NES,props.d,0.724579146,1.8,3.24,5.832,0,1,16
2016,less.government,1,NES,props.d,0.764872343,2.2,4.84,10.648,0,1,16
1990,less.government,1,NES,props.i,0.68,-0.4,0.16,-0.064,1,0,16
1992,less.government,1,NES,props.i,0.722099724,-0.2,0.04,-0.008,1,0,16
2000,less.government,1,NES,props.i,0.662615959,0.6,0.36,0.216,1,0,16
2004,less.government,1,NES,props.i,0.627062574,1,1,1,1,0,16
2008,less.government,1,NES,props.i,0.673445079,1.4,1.96,2.744,1,0,16
2012,less.government,1,NES,props.i,0.627181428,1.8,3.24,5.832,1,0,16
2016,less.government,1,NES,props.i,0.59473723,2.2,4.84,10.648,1,0,16
1990,less.government,1,NES,props.r,0.540389972,-0.4,0.16,-0.064,0,0,16
1992,less.government,1,NES,props.r,0.444335287,-0.2,0.04,-0.008,0,0,16
2000,less.government,1,NES,props.r,0.356523532,0.6,0.36,0.216,0,0,16
2004,less.government,1,NES,props.r,0.404510702,1,1,1,0,0,16
2008,less.government,1,NES,props.r,0.351959468,1.4,1.96,2.744,0,0,16
2012,less.government,1,NES,props.r,0.238349002,1.8,3.24,5.832,0,0,16
2016,less.government,1,NES,props.r,0.322652345,2.2,4.84,10.648,0,0,16
1990,gov.VS.free.market,1,NES,props.d,0.817021277,-0.4,0.16,-0.064,0,1,17
1992,gov.VS.free.market,1,NES,props.d,0.836757428,-0.2,0.04,-0.008,0,1,17
2000,gov.VS.free.market,1,NES,props.d,0.763862389,0.6,0.36,0.216,0,1,17
2004,gov.VS.free.market,1,NES,props.d,0.76030376,1,1,1,0,1,17
2008,gov.VS.free.market,1,NES,props.d,0.82124387,1.4,1.96,2.744,0,1,17
2012,gov.VS.free.market,1,NES,props.d,0.851538059,1.8,3.24,5.832,0,1,17
2016,gov.VS.free.market,1,NES,props.d,0.822754717,2.2,4.84,10.648,0,1,17
1990,gov.VS.free.market,1,NES,props.i,0.697916667,-0.4,0.16,-0.064,1,0,17
1992,gov.VS.free.market,1,NES,props.i,0.800217909,-0.2,0.04,-0.008,1,0,17
2000,gov.VS.free.market,1,NES,props.i,0.591778094,0.6,0.36,0.216,1,0,17
2004,gov.VS.free.market,1,NES,props.i,0.663320364,1,1,1,1,0,17
2008,gov.VS.free.market,1,NES,props.i,0.760146774,1.4,1.96,2.744,1,0,17
2012,gov.VS.free.market,1,NES,props.i,0.729309111,1.8,3.24,5.832,1,0,17
2016,gov.VS.free.market,1,NES,props.i,0.658614999,2.2,4.84,10.648,1,0,17
1990,gov.VS.free.market,1,NES,props.r,0.689265537,-0.4,0.16,-0.064,0,0,17
1992,gov.VS.free.market,1,NES,props.r,0.578289407,-0.2,0.04,-0.008,0,0,17
2000,gov.VS.free.market,1,NES,props.r,0.468714364,0.6,0.36,0.216,0,0,17
2004,gov.VS.free.market,1,NES,props.r,0.554828426,1,1,1,0,0,17
2008,gov.VS.free.market,1,NES,props.r,0.474587603,1.4,1.96,2.744,0,0,17
2012,gov.VS.free.market,1,NES,props.r,0.414782748,1.8,3.24,5.832,0,0,17
2016,gov.VS.free.market,1,NES,props.r,0.463221823,2.2,4.84,10.648,0,0,17
1990,gov.too.involved,1,NES,props.d,0.763326226,-0.4,0.16,-0.064,0,1,18
1992,gov.too.involved,1,NES,props.d,0.712873329,-0.2,0.04,-0.008,0,1,18
2000,gov.too.involved,1,NES,props.d,0.722970316,0.6,0.36,0.216,0,1,18
2004,gov.too.involved,1,NES,props.d,0.715387692,1,1,1,0,1,18
2008,gov.too.involved,1,NES,props.d,0.710450466,1.4,1.96,2.744,0,1,18
2012,gov.too.involved,1,NES,props.d,0.721240475,1.8,3.24,5.832,0,1,18
2016,gov.too.involved,1,NES,props.d,0.713485259,2.2,4.84,10.648,0,1,18
1990,gov.too.involved,1,NES,props.i,0.64,-0.4,0.16,-0.064,1,0,18
1992,gov.too.involved,1,NES,props.i,0.648960128,-0.2,0.04,-0.008,1,0,18
2000,gov.too.involved,1,NES,props.i,0.580252867,0.6,0.36,0.216,1,0,18
2004,gov.too.involved,1,NES,props.i,0.573958598,1,1,1,1,0,18
2008,gov.too.involved,1,NES,props.i,0.70714028,1.4,1.96,2.744,1,0,18
2012,gov.too.involved,1,NES,props.i,0.604318052,1.8,3.24,5.832,1,0,18
2016,gov.too.involved,1,NES,props.i,0.598220044,2.2,4.84,10.648,1,0,18
1990,gov.too.involved,1,NES,props.r,0.575342466,-0.4,0.16,-0.064,0,0,18
1992,gov.too.involved,1,NES,props.r,0.441436834,-0.2,0.04,-0.008,0,0,18
2000,gov.too.involved,1,NES,props.r,0.374396188,0.6,0.36,0.216,0,0,18
2004,gov.too.involved,1,NES,props.r,0.443738718,1,1,1,0,0,18
2008,gov.too.involved,1,NES,props.r,0.321126297,1.4,1.96,2.744,0,0,18
2012,gov.too.involved,1,NES,props.r,0.260017123,1.8,3.24,5.832,0,0,18
2016,gov.too.involved,1,NES,props.r,0.297050435,2.2,4.84,10.648,0,0,18
