year,i.vars.label,i.vars.class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
2012,FS.crime,4,NES,props.d,0.666588192,1.8,3.24,5.832,0,1,4
2016,FS.crime,4,NES,props.d,0.70658344,2.2,4.84,10.648,0,1,4
1984,FS.crime,4,NES,props.i,0.50462963,-1,1,-1,1,0,4
1992,FS.crime,4,NES,props.i,0.675212829,-0.2,0.04,-0.008,1,0,4
1994,FS.crime,4,NES,props.i,0.801061554,0,0,0,1,0,4
1996,FS.crime,4,NES,props.i,0.674582943,0.2,0.04,0.008,1,0,4
2000,FS.crime,4,NES,props.i,0.638480309,0.6,0.36,0.216,1,0,4
2002,FS.crime,4,NES,props.i,0.612213389,0.8,0.64,0.512,1,0,4
2004,FS.crime,4,NES,props.i,0.763498983,1,1,1,1,0,4
2008,FS.crime,4,NES,props.i,0.621359208,1.4,1.96,2.744,1,0,4
2012,FS.crime,4,NES,props.i,0.678190572,1.8,3.24,5.832,1,0,4
2016,FS.crime,4,NES,props.i,0.691425197,2.2,4.84,10.648,1,0,4
1984,FS.crime,4,NES,props.r,0.538361508,-1,1,-1,0,0,4
1992,FS.crime,4,NES,props.r,0.663179246,-0.2,0.04,-0.008,0,0,4
1994,FS.crime,4,NES,props.r,0.740563003,0,0,0,0,0,4
1996,FS.crime,4,NES,props.r,0.670053204,0.2,0.04,0.008,0,0,4
2000,FS.crime,4,NES,props.r,0.676841488,0.6,0.36,0.216,0,0,4
2002,FS.crime,4,NES,props.r,0.651623174,0.8,0.64,0.512,0,0,4
2004,FS.crime,4,NES,props.r,0.636016395,1,1,1,0,0,4
2008,FS.crime,4,NES,props.r,0.603956318,1.4,1.96,2.744,0,0,4
2012,FS.crime,4,NES,props.r,0.568841208,1.8,3.24,5.832,0,0,4
2016,FS.crime,4,NES,props.r,0.761131272,2.2,4.84,10.648,0,0,4
1990,FS.foreign.aid,4,NES,props.d,0.048435923,-0.4,0.16,-0.064,0,1,5
1996,FS.foreign.aid,4,NES,props.d,0.060622203,0.2,0.04,0.008,0,1,5
2000,FS.foreign.aid,4,NES,props.d,0.119551974,0.6,0.36,0.216,0,1,5
2002,FS.foreign.aid,4,NES,props.d,0.137024477,0.8,0.64,0.512,0,1,5
2004,FS.foreign.aid,4,NES,props.d,0.152277795,1,1,1,0,1,5
2008,FS.foreign.aid,4,NES,props.d,0.127890661,1.4,1.96,2.744,0,1,5
1990,FS.foreign.aid,4,NES,props.i,0.051643192,-0.4,0.16,-0.064,1,0,5
1996,FS.foreign.aid,4,NES,props.i,0.062794676,0.2,0.04,0.008,1,0,5
2000,FS.foreign.aid,4,NES,props.i,0.084123463,0.6,0.36,0.216,1,0,5
2002,FS.foreign.aid,4,NES,props.i,0.07999082,0.8,0.64,0.512,1,0,5
2004,FS.foreign.aid,4,NES,props.i,0.091114371,1,1,1,1,0,5
2008,FS.foreign.aid,4,NES,props.i,0.086443978,1.4,1.96,2.744,1,0,5
1990,FS.foreign.aid,4,NES,props.r,0.028409091,-0.4,0.16,-0.064,0,0,5
1996,FS.foreign.aid,4,NES,props.r,0.056747328,0.2,0.04,0.008,0,0,5
2000,FS.foreign.aid,4,NES,props.r,0.059059582,0.6,0.36,0.216,0,0,5
2002,FS.foreign.aid,4,NES,props.r,0.066830103,0.8,0.64,0.512,0,0,5
2004,FS.foreign.aid,4,NES,props.r,0.093135999,1,1,1,0,0,5
2008,FS.foreign.aid,4,NES,props.r,0.052830404,1.4,1.96,2.744,0,0,5
1984,FS.space.science,4,NES,props.d,0.400684932,-1,1,-1,0,1,6
1986,FS.space.science,4,NES,props.d,0.290416263,-0.8,0.64,-0.512,0,1,6
1988,FS.space.science,4,NES,props.d,0.268131868,-0.6,0.36,-0.216,0,1,6
1990,FS.space.science,4,NES,props.d,0.115971516,-0.4,0.16,-0.064,0,1,6
1992,FS.space.science,4,NES,props.d,0.424011514,-0.2,0.04,-0.008,0,1,6
2004,FS.space.science,4,NES,props.d,0.581771889,1,1,1,0,1,6
2008,FS.space.science,4,NES,props.d,0.575797501,1.4,1.96,2.744,0,1,6
2012,FS.space.science,4,NES,props.d,0.62935992,1.8,3.24,5.832,0,1,6
2016,FS.space.science,4,NES,props.d,0.706038343,2.2,4.84,10.648,0,1,6
1984,FS.space.science,4,NES,props.i,0.386792453,-1,1,-1,1,0,6
1986,FS.space.science,4,NES,props.i,0.305147059,-0.8,0.64,-0.512,1,0,6
1988,FS.space.science,4,NES,props.i,0.28959276,-0.6,0.36,-0.216,1,0,6
1990,FS.space.science,4,NES,props.i,0.12037037,-0.4,0.16,-0.064,1,0,6
1992,FS.space.science,4,NES,props.i,0.379751406,-0.2,0.04,-0.008,1,0,6
2004,FS.space.science,4,NES,props.i,0.507208854,1,1,1,1,0,6
2008,FS.space.science,4,NES,props.i,0.513747995,1.4,1.96,2.744,1,0,6
2012,FS.space.science,4,NES,props.i,0.508896006,1.8,3.24,5.832,1,0,6
2016,FS.space.science,4,NES,props.i,0.638597268,2.2,4.84,10.648,1,0,6
1984,FS.space.science,4,NES,props.r,0.364,-1,1,-1,0,0,6
1986,FS.space.science,4,NES,props.r,0.372,-0.8,0.64,-0.512,0,0,6
1988,FS.space.science,4,NES,props.r,0.349068323,-0.6,0.36,-0.216,0,0,6
1990,FS.space.science,4,NES,props.r,0.153409091,-0.4,0.16,-0.064,0,0,6
1992,FS.space.science,4,NES,props.r,0.426298413,-0.2,0.04,-0.008,0,0,6
2004,FS.space.science,4,NES,props.r,0.482392376,1,1,1,0,0,6
2008,FS.space.science,4,NES,props.r,0.515820718,1.4,1.96,2.744,0,0,6
2012,FS.space.science,4,NES,props.r,0.514894784,1.8,3.24,5.832,0,0,6
2016,FS.space.science,4,NES,props.r,0.66076798,2.2,4.84,10.648,0,0,6
