ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
68,1992,guar.jobs.n.income,1,NES,props.i,0.32593989,-0.2,0.04,-0.008,1,0,2
69,1994,guar.jobs.n.income,1,NES,props.i,0.302054487,0,0,0,1,0,2
70,1996,guar.jobs.n.income,1,NES,props.i,0.377412453,0.2,0.04,0.008,1,0,2
71,1998,guar.jobs.n.income,1,NES,props.i,0.378937893,0.4,0.16,0.064,1,0,2
72,2000,guar.jobs.n.income,1,NES,props.i,0.267898713,0.6,0.36,0.216,1,0,2
73,2004,guar.jobs.n.income,1,NES,props.i,0.449076922,1,1,1,1,0,2
74,2008,guar.jobs.n.income,1,NES,props.i,0.266628439,1.4,1.96,2.744,1,0,2
75,2012,guar.jobs.n.income,1,NES,props.i,0.31267731,1.8,3.24,5.832,1,0,2
76,2016,guar.jobs.n.income,1,NES,props.i,0.436393776,2.2,4.84,10.648,1,0,2
77,1972,guar.jobs.n.income,1,NES,props.r,0.201871658,-2.2,4.84,-10.648,0,0,2
78,1974,guar.jobs.n.income,1,NES,props.r,0.15503876,-2,4,-8,0,0,2
79,1976,guar.jobs.n.income,1,NES,props.r,0.180091683,-1.8,3.24,-5.832,0,0,2
80,1978,guar.jobs.n.income,1,NES,props.r,0.086115993,-1.6,2.56,-4.096,0,0,2
81,1980,guar.jobs.n.income,1,NES,props.r,0.161369193,-1.4,1.96,-2.744,0,0,2
82,1982,guar.jobs.n.income,1,NES,props.r,0.158808933,-1.2,1.44,-1.728,0,0,2
83,1984,guar.jobs.n.income,1,NES,props.r,0.217391304,-1,1,-1,0,0,2
84,1986,guar.jobs.n.income,1,NES,props.r,0.155988858,-0.8,0.64,-0.512,0,0,2
85,1988,guar.jobs.n.income,1,NES,props.r,0.158108108,-0.6,0.36,-0.216,0,0,2
86,1990,guar.jobs.n.income,1,NES,props.r,0.230283912,-0.4,0.16,-0.064,0,0,2
87,1992,guar.jobs.n.income,1,NES,props.r,0.168357552,-0.2,0.04,-0.008,0,0,2
88,1994,guar.jobs.n.income,1,NES,props.r,0.195402952,0,0,0,0,0,2
