year,new,i.vars.label,i.vars.class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem
1972,1,blacks.pos.change,2,NES,props.d,0.077598829,-2.2,4.84,-10.648,0,1
1976,1,blacks.pos.change,2,NES,props.d,0.085076709,-1.8,3.24,-5.832,0,1
1984,1,blacks.pos.change,2,NES,props.d,0.156908665,-1,1,-1,0,1
1986,1,blacks.pos.change,2,NES,props.d,0.157699443,-0.8,0.64,-0.512,0,1
1988,1,blacks.pos.change,2,NES,props.d,0.208737864,-0.6,0.36,-0.216,0,1
1990,1,blacks.pos.change,2,NES,props.d,0.162447257,-0.4,0.16,-0.064,0,1
1992,1,blacks.pos.change,2,NES,props.d,0.217094843,-0.2,0.04,-0.008,0,1
1994,1,blacks.pos.change,2,NES,props.d,0.229136763,0,0,0,0,1
1972,1,blacks.pos.change,2,NES,props.i,0.116883117,-2.2,4.84,-10.648,1,0
1976,1,blacks.pos.change,2,NES,props.i,0.095571096,-1.8,3.24,-5.832,1,0
1984,1,blacks.pos.change,2,NES,props.i,0.131578947,-1,1,-1,1,0
1986,1,blacks.pos.change,2,NES,props.i,0.154471545,-0.8,0.64,-0.512,1,0
1988,1,blacks.pos.change,2,NES,props.i,0.174603175,-0.6,0.36,-0.216,1,0
1990,1,blacks.pos.change,2,NES,props.i,0.2,-0.4,0.16,-0.064,1,0
1992,1,blacks.pos.change,2,NES,props.i,0.203880733,-0.2,0.04,-0.008,1,0
1994,1,blacks.pos.change,2,NES,props.i,0.296024962,0,0,0,1,0
1972,1,blacks.pos.change,2,NES,props.r,0.072142064,-2.2,4.84,-10.648,0,0
1976,1,blacks.pos.change,2,NES,props.r,0.041028446,-1.8,3.24,-5.832,0,0
1984,1,blacks.pos.change,2,NES,props.r,0.076726343,-1,1,-1,0,0
1986,1,blacks.pos.change,2,NES,props.r,0.142091153,-0.8,0.64,-0.512,0,0
1988,1,blacks.pos.change,2,NES,props.r,0.136427567,-0.6,0.36,-0.216,0,0
1990,1,blacks.pos.change,2,NES,props.r,0.160762943,-0.4,0.16,-0.064,0,0
1992,1,blacks.pos.change,2,NES,props.r,0.14656863,-0.2,0.04,-0.008,0,0
1994,1,blacks.pos.change,2,NES,props.r,0.210966727,0,0,0,0,0
1972,2,civil.rights.too.fast,2,NES,props.d,0.11400153,-2.2,4.84,-10.648,0,1
1974,2,civil.rights.too.fast,2,NES,props.d,0.131447587,-2,4,-8,0,1
1976,2,civil.rights.too.fast,2,NES,props.d,0.11975398,-1.8,3.24,-5.832,0,1
1980,2,civil.rights.too.fast,2,NES,props.d,0.178041543,-1.4,1.96,-2.744,0,1
1984,2,civil.rights.too.fast,2,NES,props.d,0.192857143,-1,1,-1,0,1
1986,2,civil.rights.too.fast,2,NES,props.d,0.20733945,-0.8,0.64,-0.512,0,1
1988,2,civil.rights.too.fast,2,NES,props.d,0.235148515,-0.6,0.36,-0.216,0,1
1990,2,civil.rights.too.fast,2,NES,props.d,0.164835165,-0.4,0.16,-0.064,0,1
1992,2,civil.rights.too.fast,2,NES,props.d,0.24246792,-0.2,0.04,-0.008,0,1
1972,2,civil.rights.too.fast,2,NES,props.i,0.100278552,-2.2,4.84,-10.648,1,0
1974,2,civil.rights.too.fast,2,NES,props.i,0.105978261,-2,4,-8,1,0
1976,2,civil.rights.too.fast,2,NES,props.i,0.06590621,-1.8,3.24,-5.832,1,0
1980,2,civil.rights.too.fast,2,NES,props.i,0.134146341,-1.4,1.96,-2.744,1,0
1984,2,civil.rights.too.fast,2,NES,props.i,0.088495575,-1,1,-1,1,0
1986,2,civil.rights.too.fast,2,NES,props.i,0.093220339,-0.8,0.64,-0.512,1,0
1988,2,civil.rights.too.fast,2,NES,props.i,0.137931034,-0.6,0.36,-0.216,1,0
1990,2,civil.rights.too.fast,2,NES,props.i,0.164948454,-0.4,0.16,-0.064,1,0
1992,2,civil.rights.too.fast,2,NES,props.i,0.165375617,-0.2,0.04,-0.008,1,0
1972,2,civil.rights.too.fast,2,NES,props.r,0.039817975,-2.2,4.84,-10.648,0,0
1974,2,civil.rights.too.fast,2,NES,props.r,0.033755274,-2,4,-8,0,0
1976,2,civil.rights.too.fast,2,NES,props.r,0.039102933,-1.8,3.24,-5.832,0,0
1980,2,civil.rights.too.fast,2,NES,props.r,0.072368421,-1.4,1.96,-2.744,0,0
1984,2,civil.rights.too.fast,2,NES,props.r,0.047745358,-1,1,-1,0,0
1986,2,civil.rights.too.fast,2,NES,props.r,0.072,-0.8,0.64,-0.512,0,0
1988,2,civil.rights.too.fast,2,NES,props.r,0.068669528,-0.6,0.36,-0.216,0,0
1990,2,civil.rights.too.fast,2,NES,props.r,0.057471264,-0.4,0.16,-0.064,0,0
1992,2,civil.rights.too.fast,2,NES,props.r,0.08816934,-0.2,0.04,-0.008,0,0
1972,3,school.integration,2,NES,props.d,0.48115688,-2.2,4.84,-10.648,0,1
1976,3,school.integration,2,NES,props.d,0.457582185,-1.8,3.24,-5.832,0,1
1978,3,school.integration,2,NES,props.d,0.477886978,-1.6,2.56,-4.096,0,1
1986,3,school.integration,2,NES,props.d,0.587349398,-0.8,0.64,-0.512,0,1
1990,3,school.integration,2,NES,props.d,0.570532915,-0.4,0.16,-0.064,0,1
1992,3,school.integration,2,NES,props.d,0.604112692,-0.2,0.04,-0.008,0,1
1994,3,school.integration,2,NES,props.d,0.581590175,0,0,0,0,1
2000,3,school.integration,2,NES,props.d,0.674403635,0.6,0.36,0.216,0,1
1972,3,school.integration,2,NES,props.i,0.488673139,-2.2,4.84,-10.648,1,0
1976,3,school.integration,2,NES,props.i,0.324853229,-1.8,3.24,-5.832,1,0
1978,3,school.integration,2,NES,props.i,0.363247863,-1.6,2.56,-4.096,1,0
1986,3,school.integration,2,NES,props.i,0.447058824,-0.8,0.64,-0.512,1,0
1990,3,school.integration,2,NES,props.i,0.583333333,-0.4,0.16,-0.064,1,0
1992,3,school.integration,2,NES,props.i,0.447570623,-0.2,0.04,-0.008,1,0
1994,3,school.integration,2,NES,props.i,0.491125778,0,0,0,1,0
2000,3,school.integration,2,NES,props.i,0.468722878,0.6,0.36,0.216,1,0
1972,3,school.integration,2,NES,props.r,0.397834912,-2.2,4.84,-10.648,0,0
1976,3,school.integration,2,NES,props.r,0.280569514,-1.8,3.24,-5.832,0,0
1978,3,school.integration,2,NES,props.r,0.286012526,-1.6,2.56,-4.096,0,0
1986,3,school.integration,2,NES,props.r,0.35,-0.8,0.64,-0.512,0,0
1990,3,school.integration,2,NES,props.r,0.416309013,-0.4,0.16,-0.064,0,0
1992,3,school.integration,2,NES,props.r,0.357501174,-0.2,0.04,-0.008,0,0
1994,3,school.integration,2,NES,props.r,0.292974261,0,0,0,0,0
2000,3,school.integration,2,NES,props.r,0.399603383,0.6,0.36,0.216,0,0
1972,4,school.busing,2,NES,props.d,0.135433071,-2.2,4.84,-10.648,0,1
1974,4,school.busing,2,NES,props.d,0.141025641,-2,4,-8,0,1
1976,4,school.busing,2,NES,props.d,0.140631087,-1.8,3.24,-5.832,0,1
1980,4,school.busing,2,NES,props.d,0.15015015,-1.4,1.96,-2.744,0,1
1984,4,school.busing,2,NES,props.d,0.114503817,-1,1,-1,0,1
1972,4,school.busing,2,NES,props.i,0.074927954,-2.2,4.84,-10.648,1,0
1974,4,school.busing,2,NES,props.i,0.055837563,-2,4,-8,1,0
1976,4,school.busing,2,NES,props.i,0.068511199,-1.8,3.24,-5.832,1,0
1980,4,school.busing,2,NES,props.i,0.072222222,-1.4,1.96,-2.744,1,0
1984,4,school.busing,2,NES,props.i,0.089285714,-1,1,-1,1,0
1972,4,school.busing,2,NES,props.r,0.039215686,-2.2,4.84,-10.648,0,0
1974,4,school.busing,2,NES,props.r,0.037735849,-2,4,-8,0,0
1976,4,school.busing,2,NES,props.r,0.057772484,-1.8,3.24,-5.832,0,0
1980,4,school.busing,2,NES,props.r,0.026373626,-1.4,1.96,-2.744,0,0
1984,4,school.busing,2,NES,props.r,0.040322581,-1,1,-1,0,0
1972,5,aid.to.blacks,2,NES,props.d,0.406896552,-2.2,4.84,-10.648,0,1
1974,5,aid.to.blacks,2,NES,props.d,0.412256267,-2,4,-8,0,1
1976,5,aid.to.blacks,2,NES,props.d,0.414920369,-1.8,3.24,-5.832,0,1
1978,5,aid.to.blacks,2,NES,props.d,0.347145488,-1.6,2.56,-4.096,0,1
1980,5,aid.to.blacks,2,NES,props.d,0.304700162,-1.4,1.96,-2.744,0,1
1982,5,aid.to.blacks,2,NES,props.d,0.313178295,-1.2,1.44,-1.728,0,1
1984,5,aid.to.blacks,2,NES,props.d,0.411062907,-1,1,-1,0,1
1986,5,aid.to.blacks,2,NES,props.d,0.31724846,-0.8,0.64,-0.512,0,1
1988,5,aid.to.blacks,2,NES,props.d,0.364294331,-0.6,0.36,-0.216,0,1
1990,5,aid.to.blacks,2,NES,props.d,0.327472527,-0.4,0.16,-0.064,0,1
1992,5,aid.to.blacks,2,NES,props.d,0.302080502,-0.2,0.04,-0.008,0,1
1994,5,aid.to.blacks,2,NES,props.d,0.313871009,0,0,0,0,1
1996,5,aid.to.blacks,2,NES,props.d,0.264079534,0.2,0.04,0.008,0,1
1998,5,aid.to.blacks,2,NES,props.d,0.380410477,0.4,0.16,0.064,0,1
2000,5,aid.to.blacks,2,NES,props.d,0.259157341,0.6,0.36,0.216,0,1
2004,5,aid.to.blacks,2,NES,props.d,0.363914513,1,1,1,0,1
2008,5,aid.to.blacks,2,NES,props.d,0.33127802,1.4,1.96,2.744,0,1
2012,5,aid.to.blacks,2,NES,props.d,0.309988423,1.8,3.24,5.832,0,1
2016,5,aid.to.blacks,2,NES,props.d,0.494700338,2.2,4.84,10.648,0,1
1972,5,aid.to.blacks,2,NES,props.i,0.311538462,-2.2,4.84,-10.648,1,0
1974,5,aid.to.blacks,2,NES,props.i,0.307471264,-2,4,-8,1,0
1976,5,aid.to.blacks,2,NES,props.i,0.285294118,-1.8,3.24,-5.832,1,0
1978,5,aid.to.blacks,2,NES,props.i,0.274193548,-1.6,2.56,-4.096,1,0
1980,5,aid.to.blacks,2,NES,props.i,0.178343949,-1.4,1.96,-2.744,1,0
1982,5,aid.to.blacks,2,NES,props.i,0.2,-1.2,1.44,-1.728,1,0
1984,5,aid.to.blacks,2,NES,props.i,0.343891403,-1,1,-1,1,0
1986,5,aid.to.blacks,2,NES,props.i,0.192913386,-0.8,0.64,-0.512,1,0
1988,5,aid.to.blacks,2,NES,props.i,0.225806452,-0.6,0.36,-0.216,1,0
1990,5,aid.to.blacks,2,NES,props.i,0.223880597,-0.4,0.16,-0.064,1,0
1992,5,aid.to.blacks,2,NES,props.i,0.223622577,-0.2,0.04,-0.008,1,0
1994,5,aid.to.blacks,2,NES,props.i,0.139674744,0,0,0,1,0
1996,5,aid.to.blacks,2,NES,props.i,0.208429346,0.2,0.04,0.008,1,0
1998,5,aid.to.blacks,2,NES,props.i,0.230343636,0.4,0.16,0.064,1,0
2000,5,aid.to.blacks,2,NES,props.i,0.168983718,0.6,0.36,0.216,1,0
